E,eV	I,A
16975,1	-3,81E-14
16992,4	2,334E-13
17009,8	3,19E-13
17027,1	3,59E-13
17044,4	4,347E-13
17061,7	6,779E-13
17079	1,247E-13
17096,4	1,744E-13
17113,7	3,39E-13
17131	4,044E-13
17148,3	-5,93E-14
17165,6	2,47E-14
17183	5,687E-13
17200,3	7,54E-14
17217,6	4,804E-13
17234,9	-6,56E-14
17252,3	-7,88E-14
17269,6	2,256E-13
17286,9	2,618E-13
17304,2	2,7E-14
17321,5	-1,052E-13
17338,9	7,56E-14
17356,2	3,76E-14
17373,5	-1,83E-14
17390,8	1,401E-13
17408,1	2,328E-13
17425,5	1,396E-13
17442,8	3,445E-13
17460,1	4,265E-13
17477,4	-5,84E-14
17494,8	-1,132E-13
17512,1	-1,93E-14
17529,4	6,944E-13
17546,7	2,671E-13
17564	2,31E-13
17581,4	2,106E-13
17598,7	1,157E-13
17616	5,599E-13
17633,3	-1,78E-13
17650,7	-5,05E-14
17668	3,888E-13
17685,3	7,95E-14
17702,6	3,684E-13
17719,9	1,072E-13
17737,3	5,927E-13
17754,6	-1,306E-13
17771,9	3,032E-13
17789,2	4,132E-13
17806,5	-5,38E-14
17823,9	3,437E-13
17841,2	1,074E-13
17858,5	2,501E-13
17875,8	3,758E-13
17893,2	2,195E-13
17910,5	4,13E-14
17927,8	1,477E-13
17945,1	3,092E-13
17962,4	1,72E-14
17979,8	5,06E-14
17997,1	1,041E-13
18014,4	-1,291E-13
18031,7	6,016E-13
18049	1,956E-13
18066,4	1,062E-13
18083,7	5,366E-13
18101	1,697E-13
18118,3	-2,25E-14
18135,7	5,516E-13
18153	4,35E-14
18170,3	2,807E-13
18187,6	6,77E-14
18204,9	2,065E-13
18222,3	1,861E-13
18239,6	-7,62E-14
18256,9	3,81E-13
18274,2	4,8E-15
18291,6	2,396E-13
18308,9	3,093E-13
18326,2	5,498E-13
18343,5	-1,77E-14
18360,8	6,27E-14
18378,2	2,326E-13
18395,5	1,893E-13
18412,8	5,1E-13
18430,1	1,213E-13
18447,4	-1,294E-13
18464,8	1,77E-13
18482,1	1,117E-13
