Energy,keV spectrum_int fitted_spectrum  get_elastic_partAu get_inelastic_partAu get_elastic_partPd get_inelastic_partPd  
4.0600e-01 1.149e-04 2.025e-05 4.038e-06 9.873e-65 1.727e-05 4.553e-33
4.0800e-01 -1.764e-05 2.025e-05 4.039e-06 1.523e-64 1.728e-05 5.653e-33
4.1000e-01 8.603e-05 2.026e-05 4.040e-06 2.341e-64 1.728e-05 7.008e-33
4.1200e-01 3.897e-04 2.026e-05 4.041e-06 3.587e-64 1.729e-05 8.675e-33
4.1400e-01 7.309e-04 2.027e-05 4.043e-06 5.480e-64 1.729e-05 1.072e-32
4.1600e-01 9.872e-04 2.028e-05 4.044e-06 8.347e-64 1.730e-05 1.323e-32
4.1800e-01 1.201e-03 2.028e-05 4.045e-06 1.268e-63 1.730e-05 1.630e-32
4.2000e-01 1.374e-03 2.029e-05 4.046e-06 1.919e-63 1.731e-05 2.006e-32
4.2200e-01 1.504e-03 2.029e-05 4.047e-06 2.897e-63 1.731e-05 2.464e-32
4.2400e-01 1.592e-03 2.030e-05 4.048e-06 4.360e-63 1.732e-05 3.022e-32
4.2600e-01 1.638e-03 2.031e-05 4.050e-06 6.543e-63 1.732e-05 3.702e-32
4.2800e-01 1.643e-03 2.031e-05 4.051e-06 9.792e-63 1.733e-05 4.529e-32
4.3000e-01 1.605e-03 2.032e-05 4.052e-06 1.461e-62 1.733e-05 5.532e-32
4.3200e-01 1.525e-03 2.032e-05 4.053e-06 2.174e-62 1.734e-05 6.747e-32
4.3400e-01 1.403e-03 2.033e-05 4.054e-06 3.227e-62 1.734e-05 8.219e-32
4.3600e-01 1.239e-03 2.034e-05 4.055e-06 4.776e-62 1.735e-05 9.998e-32
4.3800e-01 9.484e-04 2.034e-05 4.056e-06 7.050e-62 1.735e-05 1.215e-31
4.4000e-01 5.691e-04 2.035e-05 4.058e-06 1.038e-61 1.736e-05 1.474e-31
4.4200e-01 2.003e-04 2.035e-05 4.059e-06 1.524e-61 1.736e-05 1.785e-31
4.4400e-01 -3.999e-05 2.036e-05 4.060e-06 2.232e-61 1.737e-05 2.160e-31
4.4600e-01 -7.612e-05 2.036e-05 4.061e-06 3.260e-61 1.737e-05 2.611e-31
4.4800e-01 1.685e-04 2.037e-05 4.062e-06 4.749e-61 1.738e-05 3.151e-31
4.5000e-01 5.629e-04 2.038e-05 4.063e-06 6.902e-61 1.738e-05 3.798e-31
4.5200e-01 9.578e-04 2.038e-05 4.064e-06 1.001e-60 1.739e-05 4.573e-31
4.5400e-01 1.269e-03 2.039e-05 4.066e-06 1.447e-60 1.739e-05 5.499e-31
4.5600e-01 1.495e-03 2.039e-05 4.067e-06 2.088e-60 1.740e-05 6.604e-31
4.5800e-01 1.680e-03 2.040e-05 4.068e-06 3.005e-60 1.740e-05 7.922e-31
4.6000e-01 1.907e-03 2.041e-05 4.069e-06 4.314e-60 1.741e-05 9.492e-31
4.6200e-01 2.176e-03 2.041e-05 4.070e-06 6.179e-60 1.741e-05 1.136e-30
4.6400e-01 2.420e-03 2.042e-05 4.071e-06 8.831e-60 1.742e-05 1.358e-30
4.6600e-01 2.594e-03 2.042e-05 4.073e-06 1.259e-59 1.742e-05 1.621e-30
4.6800e-01 2.859e-03 2.043e-05 4.074e-06 1.791e-59 1.743e-05 1.933e-30
4.7000e-01 3.168e-03 2.044e-05 4.075e-06 2.542e-59 1.743e-05 2.303e-30
4.7200e-01 3.391e-03 2.044e-05 4.076e-06 3.601e-59 1.744e-05 2.741e-30
4.7400e-01 3.444e-03 2.045e-05 4.077e-06 5.088e-59 1.744e-05 3.258e-30
4.7600e-01 3.361e-03 2.045e-05 4.078e-06 7.174e-59 1.745e-05 3.868e-30
4.7800e-01 3.348e-03 2.046e-05 4.080e-06 1.009e-58 1.745e-05 4.588e-30
4.8000e-01 3.357e-03 2.047e-05 4.081e-06 1.417e-58 1.746e-05 5.436e-30
4.8200e-01 3.301e-03 2.047e-05 4.082e-06 1.985e-58 1.746e-05 6.433e-30
4.8400e-01 3.118e-03 2.048e-05 4.083e-06 2.776e-58 1.747e-05 7.606e-30
4.8600e-01 2.807e-03 2.048e-05 4.084e-06 3.872e-58 1.747e-05 8.983e-30
4.8800e-01 2.496e-03 2.049e-05 4.085e-06 5.392e-58 1.748e-05 1.060e-29
4.9000e-01 2.229e-03 2.050e-05 4.087e-06 7.492e-58 1.748e-05 1.249e-29
4.9200e-01 2.056e-03 2.050e-05 4.088e-06 1.039e-57 1.749e-05 1.471e-29
4.9400e-01 2.028e-03 2.051e-05 4.089e-06 1.438e-57 1.749e-05 1.730e-29
4.9600e-01 2.201e-03 2.051e-05 4.090e-06 1.986e-57 1.750e-05 2.034e-29
4.9800e-01 2.252e-03 2.052e-05 4.091e-06 2.738e-57 1.750e-05 2.387e-29
5.0000e-01 2.109e-03 2.053e-05 4.092e-06 3.767e-57 1.751e-05 2.800e-29
5.0200e-01 1.774e-03 2.053e-05 4.094e-06 5.173e-57 1.751e-05 3.281e-29
5.0400e-01 1.310e-03 2.054e-05 4.095e-06 7.090e-57 1.752e-05 3.841e-29
5.0600e-01 7.526e-04 2.054e-05 4.096e-06 9.701e-57 1.752e-05 4.493e-29
5.0800e-01 3.487e-04 2.055e-05 4.097e-06 1.325e-56 1.753e-05 5.250e-29
5.1000e-01 1.348e-04 2.056e-05 4.098e-06 1.806e-56 1.754e-05 6.129e-29
5.1200e-01 8.771e-05 2.056e-05 4.099e-06 2.457e-56 1.754e-05 7.148e-29
5.1400e-01 1.650e-04 2.057e-05 4.101e-06 3.337e-56 1.755e-05 8.330e-29
5.1600e-01 3.666e-04 2.057e-05 4.102e-06 4.524e-56 1.755e-05 9.698e-29
5.1800e-01 6.506e-04 2.058e-05 4.103e-06 6.122e-56 1.756e-05 1.128e-28
5.2000e-01 9.329e-04 2.059e-05 4.104e-06 8.271e-56 1.756e-05 1.311e-28
5.2200e-01 1.214e-03 2.059e-05 4.105e-06 1.116e-55 1.757e-05 1.523e-28
5.2400e-01 1.559e-03 2.060e-05 4.106e-06 1.502e-55 1.757e-05 1.767e-28
5.2600e-01 2.015e-03 2.060e-05 4.108e-06 2.019e-55 1.758e-05 2.048e-28
5.2800e-01 2.294e-03 2.061e-05 4.109e-06 2.709e-55 1.758e-05 2.372e-28
5.3000e-01 2.397e-03 2.062e-05 4.110e-06 3.628e-55 1.759e-05 2.745e-28
5.3200e-01 2.467e-03 2.062e-05 4.111e-06 4.852e-55 1.759e-05 3.175e-28
5.3400e-01 2.625e-03 2.063e-05 4.112e-06 6.479e-55 1.760e-05 3.668e-28
5.3600e-01 2.827e-03 2.063e-05 4.113e-06 8.636e-55 1.760e-05 4.235e-28
5.3800e-01 2.945e-03 2.064e-05 4.115e-06 1.149e-54 1.761e-05 4.885e-28
5.4000e-01 2.978e-03 2.065e-05 4.116e-06 1.527e-54 1.761e-05 5.630e-28
5.4200e-01 2.928e-03 2.065e-05 4.117e-06 2.026e-54 1.762e-05 6.485e-28
5.4400e-01 2.794e-03 2.066e-05 4.118e-06 2.684e-54 1.762e-05 7.463e-28
5.4600e-01 2.575e-03 2.066e-05 4.119e-06 3.550e-54 1.763e-05 8.582e-28
