E,eV	I,A
22222,3	9,7516E-11
22246,6	9,351E-11
22270,9	9,2946E-11
22295,3	9,6101E-11
22319,6	9,3501E-11
22343,9	9,4076E-11
22368,1	9,4292E-11
22392,5	9,1351E-11
22416,8	9,3317E-11
22441,1	9,3346E-11
22465,4	9,2074E-11
22489,7	9,1396E-11
22514	8,9864E-11
22538,3	9,1878E-11
22562,6	9,1847E-11
22586,9	9,023E-11
22611,2	8,978E-11
22635,4	8,7639E-11
22659,7	8,6017E-11
22684,1	8,5905E-11
22708,4	8,358E-11
22732,7	8,5981E-11
22757	8,6988E-11
22781,2	8,4896E-11
22805,6	8,605E-11
22829,9	8,3274E-11
22854,2	8,3901E-11
22878,5	8,3868E-11
22902,8	8,3574E-11
22927,1	8,6034E-11
22951,4	8,1495E-11
22975,7	8,39E-11
23000	7,9327E-11
23024,3	7,8549E-11
23048,5	8,0101E-11
23072,8	7,889E-11
23097,2	7,8971E-11
23121,5	7,7108E-11
23145,8	7,6759E-11
23170,1	7,7683E-11
23194,4	7,6535E-11
23218,7	7,7123E-11
23243	7,6327E-11
23267,3	7,2121E-11
23291,6	7,3823E-11
23315,9	7,064E-11
23340,2	7,1165E-11
23364,5	7,0707E-11
23388,8	7,2242E-11
23413,1	7,1619E-11
23437,4	6,9312E-11
23461,6	6,8411E-11
23485,9	6,438E-11
23510,3	6,417E-11
23534,6	6,3812E-11
23558,9	6,3735E-11
23583,2	6,2668E-11
23607,5	6,1393E-11
23631,8	6,244E-11
23656,1	6,0238E-11
23680,4	6,0592E-11
23704,7	5,9332E-11
23729	5,7584E-11
23753,3	5,7699E-11
23777,6	5,7089E-11
23801,9	5,3491E-11
23826,2	5,4041E-11
23850,4	5,3822E-11
23874,7	5,3526E-11
23899,1	5,1428E-11
23923,4	4,8859E-11
23947,7	4,7067E-11
23972	4,6208E-11
23996,2	4,3938E-11
24020,6	4,2733E-11
24044,9	4,3349E-11
24069,2	4,1131E-11
24093,5	3,9605E-11
24117,8	3,691E-11
24142,1	3,7202E-11
24166,4	3,6873E-11
24190,7	3,4295E-11
24215	3,1789E-11
24239,3	3,0705E-11
24263,5	2,9004E-11
24287,8	2,7202E-11
24312,2	2,5092E-11
24336,5	2,363E-11
24360,8	2,2002E-11
24385,1	1,8615E-11
24409,3	1,83103E-11
24433,7	1,79219E-11
24458	1,66068E-11
24482,3	1,41853E-11
24506,6	1,21449E-11
24530,9	1,1558E-11
24555,2	1,07171E-11
24579,5	8,5679E-12
24603,8	8,0561E-12
24628,1	6,9826E-12
24652,4	5,4391E-12
24676,6	5,9201E-12
24700,9	4,9987E-12
24725,3	3,9503E-12
24749,6	3,5177E-12
24773,9	3,0348E-12
24798,2	2,0783E-12
24822,4	2,0143E-12
24846,8	1,5992E-12
24871,1	1,2997E-12
24895,4	1,0892E-12
24919,7	1,0307E-12
24944	9,161E-13
24968,3	9,621E-13
24992,6	8,859E-13
25016,9	7,211E-13
25041,2	6,84E-13
25065,5	6,686E-13
25089,7	6,647E-13
25114,1	6,59E-13
25138,4	5,991E-13
25162,7	6,765E-13
25187	5,791E-13
26000	5,791E-13
27000	5,791E-13
